folder,coords,address
CGK05-027 - CGK05-028,-6.321561° 107.037140° -6.320859° 107.035068°,Jln Raya Bantar Gebang - setu
CGK05-028 - CGK05-029,-6.320859° 107.035068° -6.320396° 107.032851°,Jln Raya Bantar Gebang - setu
CGK05-029 - CGK05-030,-6.320396° 107.032851° -6.319937° 107.030718°,Jln Raya Bantar Gebang - setu
CGK05-030 - CGK05-031,-6.319937° 107.030718° -6.319555° 107.028437°,Jln Raya Bantar Gebang - setu
CGK05-031 - CGK05-032,-6.319555° 107.028437° -6.319647° 107.026264°,Jln Raya Bantar Gebang - setu
CGK05-032 - CGK05-033,-6.319647° 107.026264° -6.319720° 107.024009°,Jln Raya Bantar Gebang - setu
CGK05-033 - CGK05-034,-6.319720° 107.024009° -6.319891° 107.021770°,Jln Raya Bantar Gebang - setu
CGK05-034 - CGK05-035,-6.319891° 107.021770° -6.320634° 107.019670°,Jln Raya Bantar Gebang - setu
CGK05-035 - CGK05-036,-6.320634° 107.019670° -6.321339° 107.017555°,Jln Raya Bantar Gebang - setu
CGK05-036 - CGK05-037,-6.321339° 107.017555° -6.320767° 107.015459°,Jln Raya Bantar Gebang - setu
CGK05-037 - CGK05-038,-6.320767° 107.015459° -6.318976° 107.014145°,Jln Raya Bantar Gebang - setu
CGK05-038 - CGK05-039,-6.318976° 107.014145° -6.317983° 107.012596°,Jln Raya Bantar Gebang - setu
CGK05-039 - CGK05-040,-6.317983° 107.012596° -6.316958° 107.010866°,Jln Raya Bantar Gebang - setu
CGK05-040 - CGK05-041,-6.317983° 107.012596° -6.316340° 107.008827°,Jln Raya Bantar Gebang - setu
CGK05-041 - CGK05-042,-6.316340° 107.008827° -6.315556° 107.006726°,Jln Raya Bantar Gebang - setu
CGK05-042 - CGK05-043,-6.315556° 107.006726° -6.314650° 107.005328°,Jln Raya Bantar Gebang - setu
CGK05-043 - CGK05-044,-6.314650° 107.005328° -6.315277° 107.003010°,Jln Raya Bantar Gebang - setu
CGK05-044 - CGK05-045,-6.315277° 107.003010° -6.315726° 107.000859°,Jln Raya Bantar Gebang - setu
CGK05-045 - CGK05-046,-6.315726° 107.000859° -6.315102° 106.998700°,Jln Raya Bantar Gebang - setu
CGK05-046 - CGK05-047,-6.315102° 106.998700° -6.314439° 106.996537°,Jln Raya Bantar Gebang - setu
CGK05-047 - CGK05-048,-6.314439° 106.996537° -6.314646° 106.994405°,Jln Raya Bantar Gebang - setu
CGK05-048 - CGK05-049,-6.314646° 106.994405° -6.314056° 106.992397°,Jln Raya Bantar Gebang - setu
CGK05-049 - CGK05-050,-6.314056° 106.992397° -6.313105° 106.990360°,Jln Raya Bantar Gebang - setu
CGK05-050 - CGK05-051,-6.313105° 106.990360° -6.312235° 106.988272°,Jln Raya Bantar Gebang - setu
CGK05-051 - CGK05-052,-6.312235° 106.988272° -6.310902° 106.985415°,Jln Raya Bantar Gebang - setu
CGK05-052 - CGK05-053,-6.310902° 106.985415° -6.309500° 106.984300°,Jln Raya Bantar Gebang - setu
CGK05-053 - CGK05-054,-6.309500° 106.984300° -6.303477° 106.983336°,Jln Raya Bantar Gebang - setu
CGK05-054 - CGK05-055,-6.303477° 106.983336° -6.298500° 106.983600°,Jln Raya Bantar Gebang - setu
CGK05-055 - CGK05-056,-6.298500° 106.983600° -6.299686° 106.981407°,Jln Raya Siliwangi
CGK05-056 - CGK05-057,-6.299686° 106.981407° -6.300463° 106.979500°,Jln Raya Siliwangi
CGK05-057 - CGK05-058,-6.300463° 106.979500° -6.300192° 106.977438°,Jln raya Cipendawa baru
CGK05-058 - CGK05-059,-6.300192° 106.977438° -6.299344° 106.975059°,Jln raya Cipendawa baru
CGK05-059 - CGK05-060,-6.299344° 106.975059° -6.298940° 106.972495°,Jln raya Cipendawa baru
CGK05-060 - CGK05-061,-6.298940° 106.972495° -6.297756° 106.971092°,Jln Swatantra V
CGK05-061 - CGK05-062,-6.297756° 106.971092° -6.294689° 106.965245°,Jln Swatantra V
CGK05-062 - CGK05-063,-6.294689° 106.965245° -6.291502° 106.956792°,Jln raya jatiasih
CGK05-063 - CGK05-064,-6.291502° 106.956792° -6.290538° 106.954310°,Jln raya Jatiasih
CGK05-064 - CGK05-065,-6.290538° 106.954310° -6.288638° 106.954347°,Jln raya Jatimekar
CGK05-065 - CGK05-066,-6.288638° 106.954347° -6.287224° 106.952465°,Jln raya Jatimekar
CGK05-066 - CGK05-067,-6.287224° 106.952465° -6.286892° 106.951283°,Jln Raya Jatikramat
CGK05-067 - CGK05-068,-6.286892° 106.951283° -6.286812° 106.949147°,Jln Raya Jatikramat
CGK05-068 - CGK05-069,-6.286812° 106.949147° -6.286635° 106.946624°,Jln Raya Jatikramat
CGK05-069 - CGK05-070,-6.286635° 106.946624° -6.287400° 106.944152°,Jln Raya Jatikramat
CGK05-070 - CGK05-071,-6.287400° 106.944152° -6.288106° 106.942155°,Jln Raya Jatikramat
CGK05-071 - CGK05-072,-6.288106° 106.942155° -6.287779° 106.939735°,Jln Raya Jatikramat
CGK05-072 - CGK05-073,-6.287779° 106.939735° -6.286654° 106.937653°,Jln Raya Jatimakmur
CGK05-073 - CGK05-074,-6.286654° 106.937653° -6.285671° 106.935347°,Jln Raya Jatimakmur
CGK05-074 - CGK05-075,-6.285671° 106.935347° -6.284883° 106.933343°,Jln Raya Jatimakmur
CGK05-075 - CGK05-076,-6.284883° 106.933343° -6.283805° 106.930731°,Jln Raya Jatimakmur
CGK05-076 - CGK05-077,-6.283805° 106.930731° -6.283413° 106.929592°,Jln Raya Jatimakmur
CGK05-077 - CGK05-078,-6.283413° 106.929592° -6.283918° 106.927344°,Jln Raya Jatimakmur
CGK05-078 - CGK05-079,-6.283918° 106.927344° -6.284241° 106.925232°,Jln Raya Jatimakmur
CGK05-079 - CGK05-080,-6.284241° 106.925232° -6.285496° 106.923228°,Jln Raya Jatimakmur
CGK05-080 - CGK05-081,-6.285496° 106.923228° -6.286562° 106.921569°,Jln Raya Jatimakmur
